CustomerKey,Gender,Name,City,"State Code",State,"Zip Code",Country,Continent,Birthday,Age
301,Female,"Lilly Harding","WANDEARAH EAST",SA,"South Australia",5523,Australia,Australia,1939-07-03,86
325,Female,"Madison Hull","MOUNT BUDD",WA,"Western Australia",6522,Australia,Australia,1979-09-27,46
554,Female,"Claire Ferres",WINJALLOK,VIC,Victoria,3380,Australia,Australia,1947-05-26,78
786,Male,"Jai Poltpalingada","MIDDLE RIVER",SA,"South Australia",5223,Australia,Australia,1957-09-17,68
1042,Male,"Aidan Pankhurst","TAWONGA SOUTH",VIC,Victoria,3698,Australia,Australia,1965-11-19,60
1086,Male,"Hayden Clegg",TEMPLERS,SA,"South Australia",5371,Australia,Australia,1954-01-20,72
1133,Male,"Nicholas Caffyn","JUBILEE POCKET",QLD,Queensland,4802,Australia,Australia,1969-11-22,56
1256,Male,"Lincoln Jenks",KULLOGUM,QLD,Queensland,4660,Australia,Australia,1950-03-12,75
1314,Male,"Isaac Israel","EDITH RIVER",NT,"Northern Territory",852,Australia,Australia,1965-12-21,60
1568,Male,"Luke Virtue",KOTTA,VIC,Victoria,3565,Australia,Australia,1975-07-25,50
1585,Female,"Anna Hallstrom","GREEN LAKE",VIC,Victoria,3401,Australia,Australia,1990-08-12,35
1626,Female,"Mary Leach","NEDS CORNER",VIC,Victoria,3496,Australia,Australia,1985-10-17,40
1642,Female,"Ruby Ambrose",TARLO,NSW,"New South Wales",2580,Australia,Australia,1965-03-03,60
1677,Male,"Dean Innes",ELLESMERE,QLD,Queensland,4610,Australia,Australia,1964-11-22,61
1817,Female,"Laura Le Rennetel",BEAUCHAMP,VIC,Victoria,3579,Australia,Australia,1986-07-10,39
1863,Female,"Chelsea Watkins","NAMBOUR DC",QLD,Queensland,4560,Australia,Australia,1984-09-22,41
1945,Male,"Angus Beaurepaire",GREENFIELDS,WA,"Western Australia",6210,Australia,Australia,1974-09-20,51
2238,Female,"Isabelle Cochran",BRUCKNELL,VIC,Victoria,3268,Australia,Australia,1969-10-31,56
